sgRNA	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
20922	random	161	152	807	308
20923	random	446	520	1691	847
20924	random	349	232	1054	267
20925	random	317	319	759	511
20926	random	644	546	2223	868
20927	random	526	532	1570	780
20928	random	647	628	2356	759
20929	random	589	593	1866	841
20930	random	656	599	2391	642
20931	random	726	481	1837	758
20932	random	794	562	2768	761
20933	random	471	354	1119	469
20934	random	647	461	2145	716
20935	random	646	550	2345	873
20936	random	547	512	1505	572
20937	random	496	461	1440	494
20938	random	849	570	2668	831
20939	random	275	300	739	350
20940	random	918	637	3349	901
20941	random	735	677	2363	790
20942	random	399	290	1478	583
20943	random	587	596	1746	694
20944	random	484	288	1531	412
20945	random	624	598	2298	763
20946	random	622	416	1745	848
20947	random	595	444	1818	648
44908	random	590	545	2333	680
44909	random	271	245	483	444
44910	random	586	462	1742	853
44911	random	282	227	764	389
44912	random	709	627	2154	932
44913	random	634	483	1878	807
44914	random	422	492	1616	548
44915	random	582	413	2151	671
44916	random	817	669	2427	924
44917	random	447	407	1509	449
44918	random	504	496	1652	585
44919	random	568	433	1741	626
44920	random	821	524	2455	644
44921	random	882	760	3070	1177
44922	random	203	162	1070	222
44923	random	615	547	1763	507
44924	random	551	556	1631	601
44925	random	602	488	2038	800
44926	random	501	494	1669	612
44927	random	507	443	1279	589
44928	random	344	329	1115	412
44929	random	619	406	1889	649
44930	random	515	447	1557	636
44931	random	1139	1005	4381	1413
44932	random	489	408	1520	614
44933	random	750	713	2523	814
44934	random	864	793	3108	1052
44935	random	120	98	458	141
44936	random	147	143	544	179
44937	random	536	352	2365	497
44938	random	368	270	1052	495
44939	random	248	205	595	241
44940	random	593	497	2424	626
44941	random	592	547	1782	725
44942	random	368	344	1194	348
44943	random	890	662	2882	903
44944	random	807	618	2484	956
44945	random	619	555	1954	730
44946	random	500	410	2029	526
44947	random	614	601	2248	879
44948	random	326	295	1202	406
44949	random	556	556	2279	636
44950	random	686	450	2072	589
44951	random	584	444	1635	513
44952	random	426	379	1545	502
44953	random	289	192	746	214
44954	random	697	627	1586	745
44955	random	741	715	2135	839
44956	random	663	637	2083	785
44957	random	468	423	1477	619
44958	random	633	370	2440	520
