guide	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
common:non-targeting_00202	random	334	315	1013	363
common:non-targeting_00203	random	373	397	1446	625
common:non-targeting_00204	random	304	260	859	288
common:non-targeting_00205	random	624	422	2317	734
common:non-targeting_00206	random	484	285	1185	526
common:non-targeting_00207	random	855	804	2718	963
common:non-targeting_00208	random	599	395	1706	546
common:non-targeting_00209	random	568	547	2614	757
common:non-targeting_00210	random	606	529	1345	630
common:non-targeting_00211	random	810	699	2827	616
common:non-targeting_00212	random	546	449	1326	540
common:non-targeting_00213	random	597	400	1380	605
common:non-targeting_00214	random	740	423	2180	616
common:non-targeting_00215	random	575	448	1812	582
common:non-targeting_00216	random	1282	951	3822	1195
common:non-targeting_00217	random	346	331	1088	580
common:non-targeting_00218	random	402	381	1063	395
common:non-targeting_00219	random	599	494	1629	587
common:non-targeting_00220	random	753	706	2764	781
common:non-targeting_00221	random	1352	1079	4461	1384
common:non-targeting_00222	random	924	672	2985	795
common:non-targeting_00223	random	241	167	807	139
common:non-targeting_00224	random	615	473	1929	628
common:non-targeting_00225	random	372	355	1027	524
common:non-targeting_00226	random	1276	1251	4040	1673
common:non-targeting_00227	random	273	348	1155	590
common:non-targeting_00228	random	680	531	1828	719
common:non-targeting_00229	random	588	485	1800	607
common:non-targeting_00230	random	823	552	2234	704
common:non-targeting_00231	random	384	396	1197	447
common:non-targeting_00232	random	157	141	506	155
common:non-targeting_00233	random	674	483	1931	605
common:non-targeting_00234	random	801	595	2735	698
common:non-targeting_00235	random	859	597	2271	488
common:non-targeting_00236	random	811	591	2379	663
common:non-targeting_00237	random	138	106	386	198
common:non-targeting_00238	random	565	524	1496	619
common:non-targeting_00239	random	815	556	2564	871
common:non-targeting_00240	random	308	310	1245	293
common:non-targeting_00241	random	528	446	2004	437
common:non-targeting_00242	random	629	544	1787	619
common:non-targeting_00243	random	627	470	1861	705
common:non-targeting_00244	random	408	444	1449	569
common:non-targeting_00245	random	716	780	2768	874
common:non-targeting_00246	random	708	667	2122	807
common:non-targeting_00247	random	435	298	967	512
common:non-targeting_00248	random	498	449	1537	631
common:non-targeting_00249	random	303	273	882	387
common:non-targeting_00250	random	796	727	2876	895
common:non-targeting_00251	random	888	803	2677	951
common:non-targeting_00252	random	643	577	1872	658
common:non-targeting_00253	random	91	83	127	9
common:non-targeting_00254	random	651	465	1749	374
common:non-targeting_00255	random	555	413	1636	443
common:non-targeting_00256	random	153	56	188	128
common:non-targeting_00257	random	350	379	1085	586
common:non-targeting_00258	random	446	302	1312	301
common:non-targeting_00259	random	870	720	2613	909
common:non-targeting_00260	random	545	480	1708	576
common:non-targeting_00261	random	416	272	1117	276
common:non-targeting_00262	random	672	672	2514	725
common:non-targeting_00263	random	767	637	2513	933
common:non-targeting_00264	random	439	351	1256	590
common:non-targeting_00265	random	9	12	22	0
common:non-targeting_00266	random	789	505	2548	503
common:non-targeting_00267	random	763	678	2276	826
common:non-targeting_00268	random	610	461	2308	693
common:non-targeting_00269	random	562	470	1992	729
common:non-targeting_00270	random	862	729	2616	1059
common:non-targeting_00271	random	439	329	1161	683
common:non-targeting_00272	random	687	496	1961	867
common:non-targeting_00273	random	722	668	2243	650
common:non-targeting_00274	random	161	152	807	308
common:non-targeting_00275	random	446	520	1691	847
common:non-targeting_00276	random	349	232	1054	267
common:non-targeting_00277	random	317	319	759	511
common:non-targeting_00278	random	644	546	2223	868
common:non-targeting_00279	random	526	532	1570	780
common:non-targeting_00280	random	647	628	2356	759
common:non-targeting_00281	random	589	593	1866	841
common:non-targeting_00282	random	656	599	2391	642
common:non-targeting_00283	random	726	481	1837	758
common:non-targeting_00284	random	794	562	2768	761
common:non-targeting_00285	random	471	354	1119	469
common:non-targeting_00286	random	647	461	2145	716
common:non-targeting_00287	random	646	550	2345	873
common:non-targeting_00288	random	547	512	1505	572
common:non-targeting_00289	random	496	461	1440	494
common:non-targeting_00290	random	849	570	2668	831
common:non-targeting_00291	random	275	300	739	350
common:non-targeting_00292	random	918	637	3349	901
common:non-targeting_00293	random	735	677	2363	790
common:non-targeting_00294	random	399	290	1478	583
common:non-targeting_00295	random	587	596	1746	694
common:non-targeting_00296	random	484	288	1531	412
common:non-targeting_00297	random	624	598	2298	763
common:non-targeting_00298	random	622	416	1745	848
common:non-targeting_00299	random	595	444	1818	648
hela_unique:non-targeting_01547	random	590	545	2333	680
hela_unique:non-targeting_01548	random	271	245	483	444
hela_unique:non-targeting_01549	random	586	462	1742	853
hela_unique:non-targeting_01550	random	282	227	764	389
hela_unique:non-targeting_01551	random	709	627	2154	932
hela_unique:non-targeting_01552	random	634	483	1878	807
hela_unique:non-targeting_01553	random	422	492	1616	548
hela_unique:non-targeting_01554	random	582	413	2151	671
hela_unique:non-targeting_01555	random	817	669	2427	924
hela_unique:non-targeting_01556	random	447	407	1509	449
hela_unique:non-targeting_01557	random	504	496	1652	585
hela_unique:non-targeting_01558	random	568	433	1741	626
hela_unique:non-targeting_01559	random	821	524	2455	644
hela_unique:non-targeting_01560	random	882	760	3070	1177
hela_unique:non-targeting_01561	random	203	162	1070	222
hela_unique:non-targeting_01562	random	615	547	1763	507
hela_unique:non-targeting_01563	random	551	556	1631	601
hela_unique:non-targeting_01564	random	602	488	2038	800
