Spacer	Gene	KBM7initialRep1	KBM7finalRep1	KBM7initialRep2	KBM7finalRep2	K562initial	K562final	Jiyoyeinitial	Jiyoyefinal	Rajiinitial	Rajifinal
CTRL00458	CTRL	361	198	222	165	201	834	0	71	141	33
CTRL00459	CTRL	785	645	948	656	674	718	176	159	259	91
CTRL00460	CTRL	243	193	223	254	185	393	95	68	112	54
CTRL00461	CTRL	1013	666	1008	830	1009	1594	173	293	479	167
CTRL00462	CTRL	531	314	647	481	365	622	122	75	299	92
CTRL00463	CTRL	512	288	300	451	278	481	91	89	210	63
CTRL00464	CTRL	413	169	505	236	370	292	155	33	164	68
CTRL00465	CTRL	641	479	607	363	477	976	191	96	369	127
CTRL00466	CTRL	766	478	729	290	517	1036	41	135	389	114
CTRL00467	CTRL	721	493	780	734	663	943	158	225	404	129
CTRL00468	CTRL	197	190	157	112	226	553	29	8	167	56
CTRL00469	CTRL	1245	1194	1056	1413	963	1608	231	250	502	182
CTRL00470	CTRL	431	423	625	332	393	659	69	116	322	79
CTRL00471	CTRL	432	147	395	337	357	530	21	67	172	67
CTRL00472	CTRL	579	362	538	622	352	553	116	86	219	87
CTRL00473	CTRL	1118	780	1138	809	1010	1424	175	159	426	195
CTRL00474	CTRL	121	278	108	69	74	159	31	91	159	32
CTRL00475	CTRL	979	761	905	762	740	1374	358	202	550	164
CTRL00476	CTRL	994	605	1039	894	939	1493	112	218	556	182
CTRL00477	CTRL	984	599	930	421	648	741	220	227	390	126
CTRL00478	CTRL	611	418	584	368	614	1073	324	213	294	101
CTRL00479	CTRL	1120	555	732	896	694	1295	213	304	683	192
CTRL00480	CTRL	605	670	601	664	412	632	199	88	358	144
CTRL00481	CTRL	279	563	327	260	280	313	198	41	122	64
CTRL00482	CTRL	1098	722	1051	740	755	1197	306	182	508	201
CTRL00483	CTRL	277	219	272	213	211	344	116	31	126	53
CTRL00484	CTRL	655	581	653	366	706	733	53	167	258	126
CTRL00485	CTRL	979	715	1095	760	783	1650	318	177	602	113
CTRL00486	CTRL	370	253	194	193	152	212	105	60	152	66
CTRL00487	CTRL	558	569	624	413	547	901	198	118	545	116
CTRL00488	CTRL	413	375	415	315	259	693	89	75	227	58
CTRL00489	CTRL	744	405	430	519	322	492	244	79	286	105
CTRL00490	CTRL	853	928	768	652	579	923	123	161	328	165
CTRL00491	CTRL	403	428	531	240	438	903	125	109	214	54
CTRL00492	CTRL	814	302	589	424	502	793	253	131	451	158
CTRL00493	CTRL	210	242	266	149	212	207	65	44	121	21
CTRL00494	CTRL	206	117	210	148	150	131	14	38	148	37
CTRL00495	CTRL	775	819	784	367	657	1051	283	189	423	143
CTRL00496	CTRL	1470	867	1276	804	1145	1739	426	257	820	187
CTRL00497	CTRL	196	93	207	94	168	333	25	53	129	57
CTRL00498	CTRL	255	199	498	302	399	593	247	95	222	59
CTRL00499	CTRL	0	6	0	3	14	2	0	2	41	2
CTRL00500	CTRL	917	647	951	857	954	1305	104	248	404	162
CTRL00501	CTRL	1561	1063	1667	1275	1698	2347	431	419	978	273
CTRL00502	CTRL	371	855	596	345	434	708	65	69	246	64
CTRL00503	CTRL	127	52	59	48	25	182	0	16	49	4
CTRL00504	CTRL	482	205	497	310	460	661	126	102	243	85
CTRL00505	CTRL	688	488	713	274	630	1067	208	190	458	115
CTRL00506	CTRL	535	387	655	443	578	832	203	105	371	164
CTRL00507	CTRL	142	128	305	45	191	336	42	20	66	13
CTRL00508	CTRL	282	167	405	327	266	296	74	85	150	51
CTRL00509	CTRL	88	102	118	114	134	592	17	29	142	41
CTRL00510	CTRL	727	597	474	454	542	801	189	109	295	100
CTRL00511	CTRL	191	124	487	250	349	566	64	36	164	47
CTRL00512	CTRL	788	505	969	389	544	1286	161	119	471	116
CTRL00513	CTRL	351	381	328	222	350	480	165	149	249	102
CTRL00514	CTRL	1232	903	1639	1053	1011	1550	344	179	640	192
CTRL00515	CTRL	654	586	850	358	775	1135	230	276	558	171
CTRL00516	CTRL	728	233	704	577	566	1166	214	157	357	151
CTRL00517	CTRL	826	478	804	772	562	1236	261	164	323	150
CTRL00518	CTRL	423	355	544	355	314	845	78	98	220	83
CTRL00519	CTRL	187	269	161	132	133	502	36	38	32	13
CTRL00520	CTRL	765	786	828	515	781	1175	105	196	463	139
CTRL00521	CTRL	516	159	414	199	349	607	65	51	176	36
CTRL00522	CTRL	1100	757	1320	798	850	1863	226	161	564	284
CTRL00523	CTRL	3387	2443	3539	2101	2661	3793	675	558	1490	482
CTRL00524	CTRL	314	314	280	352	298	603	133	79	144	64
CTRL00525	CTRL	569	404	398	313	454	556	76	118	288	58
CTRL00526	CTRL	199	200	150	203	176	347	56	32	73	25
CTRL00527	CTRL	1406	1012	1208	905	962	1869	208	227	672	268
CTRL00528	CTRL	328	258	410	278	335	574	25	121	171	56
CTRL00529	CTRL	745	308	542	413	522	717	138	107	359	133
CTRL00530	CTRL	652	346	464	264	437	478	125	162	263	103
CTRL00531	CTRL	572	324	531	333	349	666	38	93	203	81
CTRL00532	CTRL	592	735	723	665	590	1249	88	168	293	90
CTRL00533	CTRL	1504	959	1042	797	1036	1575	221	368	1029	306
CTRL00534	CTRL	465	500	598	217	428	553	94	120	259	82
CTRL00535	CTRL	992	1176	882	739	900	1951	224	228	543	138
CTRL00536	CTRL	171	220	158	133	137	193	0	14	57	30
CTRL00537	CTRL	341	112	257	269	171	460	88	59	153	26
CTRL00538	CTRL	828	831	589	772	505	1136	146	158	308	85
CTRL00539	CTRL	60	70	147	157	53	137	30	23	39	0
CTRL00540	CTRL	1142	1283	1027	1294	862	1802	213	144	488	167
CTRL00541	CTRL	414	276	459	220	267	251	60	64	151	25
CTRL00542	CTRL	1051	484	876	450	722	1388	142	159	594	144
CTRL00543	CTRL	131	85	197	94	95	287	33	27	90	78
CTRL00544	CTRL	1042	470	975	849	906	2048	198	101	637	193
CTRL00545	CTRL	545	348	375	130	390	398	212	102	320	51
CTRL00546	CTRL	664	467	665	471	618	1371	183	98	365	106
CTRL00547	CTRL	666	305	463	302	549	791	203	98	316	71
CTRL00548	CTRL	106	74	114	160	57	121	0	34	78	14
CTRL00549	CTRL	722	553	763	633	670	1327	207	167	373	139
CTRL00550	CTRL	484	314	633	430	464	429	103	66	202	105
CTRL00551	CTRL	394	286	179	183	182	314	45	73	88	41
CTRL00552	CTRL	631	680	711	539	533	1334	239	184	316	153
CTRL00553	CTRL	115	175	134	57	36	24	50	12	38	14
CTRL00554	CTRL	925	540	676	613	539	917	212	148	334	140
CTRL00555	CTRL	135	11	83	20	90	166	43	32	80	45
CTRL00556	CTRL	315	160	251	310	303	402	46	99	184	55
CTRL00557	CTRL	840	656	771	612	654	1149	257	227	638	247
CTRL00558	CTRL	915	588	946	611	958	1536	258	174	517	143
