Guide	Counts
ACADVL_17_c_7123473.28-all	90
ACADVL_17_c_7123478.27-all	323
ACADVL_17_w_7123458.28-all	316
ACADVL_17_w_7123474.27-all	471
ACAN_15_w_89379441.27-all	631
ACAN_15_w_89381894.28-all	598
ACAN_15_w_89381921.28-all	1088
ACAN_15_w_89381922.27-all	573
ACAP1_17_c_7240077.23-all	992
ACAP1_17_c_7240089.26-all	749
ACAP1_17_w_7240632.23-all	838
ACAP1_17_w_7240653.24-all	1230
ACAP2_3_c_195102710.26-all	568
ACAP2_3_w_195112835.28-all	965
ACAP2_3_w_195112844.28-all	624
ACAP2_3_w_195163551.23-all	875
ACAP3_1_c_1239517.23-all	565
ACAP3_1_c_1243190.23-all	592
ACAP3_1_w_1239479.23-all	831
ACAP3_1_w_1239497.25-all	679
ACAT1_11_c_107992364.26-all	704
ACAT1_11_c_107992392.27-all	339
ACAT1_11_c_107992395.26-all	286
ACAT1_11_c_107992399.24-all	465
ACAT2_6_c_160183155.28-all	850
ACAT2_6_c_160183158.25-all	933
ACAT2_6_c_160183163.24-all	550
ACAT2_6_w_160183137.25-all	367
ACBD3_1_c_226374315.26-all	315
ACBD3_1_c_226374316.27-all	625
ACBD3_1_c_226374338.24-all	413
ACBD3_1_w_226374342.26-all	303
ACBD4_17_w_43213518.26-all	259
ACBD4_17_w_43213531.28-all	996
ACBD4_17_w_43213532.27-all	595
ACBD4_17_w_43213538.26-all	783
ACBD5_10_c_27529306.28-all	646
ACBD5_10_w_27529290.28-all	684
ACBD5_10_w_27529316.28-all	627
ACBD5_10_w_27529319.25-all	404
ACBD6_1_c_180471381.26-all	339
ACBD6_1_c_180471382.27-all	569
ACBD6_1_c_180471386.25-all	160
ACBD6_1_w_180471374.25-all	702
ACBD7_10_c_15120746.24-all	684
ACBD7_10_w_15120702.24-all	752
ACBD7_10_w_15120935.26-all	575
ACBD7_10_w_15120959.26.pass30-all	514
ACCSL_11_w_44069610.27-all	244
